ID,EDUC,PAEDUC,MAEDUC,SPEDUC
1,12,12,12,
2,17,20,,
3,12,12,12,16
4,13,,12,
8,13,16,12,
9,18,16,12,13
12,15,,8,14
14,20,12,8,16
15,12,12,12,
16,16,6,6,12
17,11,6,4,
18,7,,,
20,16,16,16,16
22,14,6,14,16
23,16,,12,14
24,19,,12,
30,13,6,8,
32,12,7,7,18
33,15,9,5,
35,14,16,16,
36,13,16,16,
38,11,,,
39,9,,,
40,12,0,,12
42,14,,,
43,16,,13,16
45,18,8,14,
48,16,,12,
49,16,14,12,
51,14,16,16,12
55,13,,,
57,14,14,8,
58,14,0,6,
62,11,7,3,
66,11,,12,
69,14,14,14,
71,14,12,12,14
75,14,14,12,12
78,12,8,12,12
79,8,6,8,8
81,13,8,11,
83,12,8,8,12
85,12,12,12,12
86,10,6,,
87,20,,16,18
91,20,12,12,20
93,18,19,16,17
95,15,,0,14
96,18,16,12,
98,12,12,12,20
101,12,,12,12
102,16,16,16,16
104,18,16,12,
105,13,14,20,
106,10,12,10,
108,13,,12,13
109,9,3,11,
111,12,,12,
112,11,,,
114,11,,,12
115,7,2,9,
117,8,,,
122,16,18,17,16
123,12,12,10,
124,15,8,6,
125,10,,4,
128,9,7,12,
129,9,,,
132,12,6,12,
133,18,14,16,
135,11,,,
136,11,,,
140,20,12,8,12
141,16,,12,
142,12,,7,
143,15,8,6,
144,9,2,,8
147,12,,,12
149,12,20,12,
150,12,,6,
151,16,8,9,16
153,15,20,14,
154,20,,,20
157,12,12,,
158,15,7,5,
159,12,,,12
161,8,,4,6
162,8,,6,
168,10,8,8,
172,12,8,8,12
176,13,12,12,12
177,14,12,12,
178,12,3,4,12
179,16,16,12,16
180,16,12,12,16
182,16,12,12,18
183,20,,,17
184,13,12,12,
189,18,6,12,
191,13,,13,
193,14,9,12,
195,15,12,12,
196,13,,,
198,12,,,
199,14,,16,
203,14,8,10,16
204,18,8,8,
210,16,17,17,
211,13,6,7,12
212,14,12,18,14
217,12,,11,
219,20,,12,18
220,16,12,12,
221,10,4,5,12
222,13,4,2,
227,8,16,12,8
228,16,20,12,16
229,17,14,12,16
230,14,10,12,
231,5,,16,
232,8,,3,13
233,13,8,12,
235,9,,,
236,14,,,
241,16,16,12,
242,17,8,16,16
243,20,7,8,20
245,17,12,12,16
247,15,6,12,14
248,,14,16,16
250,16,6,8,16
251,7,0,0,12
252,15,15,20,
254,11,,11,
256,12,,5,14
258,15,16,16,16
259,13,16,14,
260,12,12,12,
262,12,10,13,
265,12,12,12,12
266,11,10,11,
270,12,12,12,
271,10,8,8,
272,14,12,8,
273,14,16,12,
275,12,4,6,9
276,14,8,16,
277,16,20,18,
280,12,11,11,
282,11,,,
283,12,,8,
284,12,8,,9
285,13,,3,
286,15,,14,
290,13,12,16,
292,14,,,
294,14,9,16,9
295,18,12,12,16
296,15,,9,15
298,11,4,9,
299,12,4,2,10
301,12,12,12,
305,12,8,8,12
308,12,6,8,13
309,17,19,12,
310,18,12,7,17
312,16,14,12,
315,14,15,13,16
317,16,13,14,
323,16,13,12,17
325,15,10,8,12
326,13,10,12,20
331,18,14,16,15
332,17,16,15,16
333,13,13,10,
334,13,8,8,12
337,8,8,8,14
340,12,0,13,
341,12,10,12,12
342,16,12,12,
344,12,,12,
346,12,5,6,14
349,13,,3,
350,12,,8,
351,14,14,13,14
353,18,12,16,16
359,14,14,14,
360,14,,,
361,15,14,16,
364,14,,16,12
365,16,14,17,12
366,12,,12,
371,16,,,14
372,12,,16,18
374,18,6,12,13
376,16,16,16,
377,19,,18,14
378,20,,4,20
379,17,10,10,14
388,8,,,
389,16,20,14,
392,20,12,12,12
394,16,7,7,
395,16,,10,
396,16,11,11,
399,12,,12,
400,13,19,12,
403,14,,6,
404,14,,12,14
405,16,,16,14
406,12,,12,6
407,14,12,16,12
410,12,10,,12
413,14,,14,16
414,17,13,18,
415,20,19,12,16
417,16,,16,
418,17,13,13,
419,20,20,14,
423,18,14,18,
427,15,14,12,
431,13,,12,
432,14,1,3,
434,14,9,14,
435,14,12,12,
437,9,2,2,10
441,18,12,12,
442,3,0,0,
443,12,3,0,
444,10,6,10,12
446,15,8,10,
447,7,,,
449,12,13,15,
450,12,3,6,
454,16,12,12,14
455,14,,,
456,16,12,13,13
457,17,12,6,16
460,12,12,12,
461,16,12,12,
465,12,,0,
466,14,14,12,
467,12,,0,
469,9,,4,
472,16,,,
474,17,16,18,
476,18,17,17,
477,16,,,15
479,16,,12,18
482,18,16,12,
484,16,20,13,
488,2,14,,
490,5,,15,5
491,16,,,
492,14,,16,15
494,19,,,20
496,20,12,12,12
497,16,,,
501,10,12,12,
503,9,2,3,
504,12,6,,
506,9,,3,
507,12,,,
508,4,,,
510,8,,4,
511,12,,12,
512,14,,,
513,12,18,20,16
517,14,10,12,12
518,13,8,5,8
521,15,,14,
523,12,,,12
525,16,,,
526,16,14,16,
527,18,12,12,
530,16,18,16,16
533,14,12,12,
537,12,12,12,
538,13,16,14,12
539,13,4,6,
540,12,,12,
542,12,,,
543,12,3,9,
545,8,,11,
546,10,,10,
548,11,,,
549,16,,12,
552,12,17,12,
553,11,0,3,13
556,12,16,12,
558,16,9,9,14
559,17,14,14,
561,12,3,8,12
564,16,16,12,
565,15,12,13,
566,12,,,
567,4,0,0,
569,12,,,
570,11,,11,
571,12,,,
573,12,,7,
575,7,4,4,7
576,12,,,
580,12,8,11,12
581,14,8,6,16
583,12,8,8,12
586,12,8,12,
587,13,12,12,
589,17,14,15,
592,12,,,16
594,16,16,16,16
598,12,12,12,13
599,14,,12,18
601,12,12,12,
602,16,11,11,13
603,,12,12,16
608,12,,10,12
610,11,,,
612,14,14,12,14
613,12,,10,
614,12,,7,11
617,12,8,2,12
618,12,12,8,14
625,16,12,12,18
626,16,16,16,16
627,12,5,4,
628,12,12,14,
629,15,12,12,
632,17,20,14,18
634,16,18,12,
635,12,12,12,16
637,12,10,8,
641,11,9,14,
643,8,8,,
644,10,,,
648,15,,,12
649,12,8,12,13
650,12,6,12,13
652,16,,12,16
656,10,,8,13
657,12,16,12,
658,12,12,20,
659,16,16,14,
660,12,12,,
662,12,12,10,10
664,12,,,
665,13,15,12,
666,,,12,11
668,12,12,12,12
671,10,12,9,11
672,16,8,,16
673,13,11,11,16
674,12,12,8,12
679,14,16,,14
682,12,8,14,10
685,12,15,12,9
686,19,12,12,15
688,14,,8,12
690,12,8,6,
691,12,8,8,12
694,16,16,13,16
695,12,12,6,16
697,19,11,11,18
698,16,12,12,15
700,17,16,12,19
701,16,12,12,14
705,15,16,16,
706,12,14,10,
707,12,8,10,
709,12,8,8,
710,12,,,12
712,20,12,12,19
713,12,6,12,
714,17,8,13,17
717,16,12,6,16
719,19,12,12,
720,12,12,8,12
722,12,6,12,
723,18,19,12,16
726,8,6,6,
728,10,5,5,10
731,8,8,,12
735,12,,12,12
737,12,9,14,11
739,15,,12,13
744,17,,13,17
745,12,8,12,14
746,16,16,16,14
747,16,16,16,15
748,18,12,12,13
749,17,16,18,18
752,12,,11,11
754,17,12,11,17
757,13,,10,
758,16,16,16,
759,13,12,12,
760,16,15,12,16
763,12,12,12,12
764,12,12,12,12
767,12,5,13,
769,19,8,,
772,12,8,8,12
774,12,,,
776,16,12,12,
777,14,,,12
780,14,17,16,
781,12,8,12,
782,12,8,12,
783,12,8,12,13
784,12,,,12
786,9,12,9,
787,8,,12,
790,8,,,
792,12,,8,
794,13,18,16,
